Line_Count File_Name
      22341 cdr_120_7005_2025-03-05-00-00-00.2306.csv
      19123 cdr_120_7005_2025-03-05-00-30-00.2307.csv
      13380 cdr_120_7005_2025-03-05-01-00-00.2308.csv
       9474 cdr_120_7005_2025-03-05-01-30-00.2309.csv
      42274 cdr_120_7005_2025-03-05-02-00-00.2310.csv
       7222 cdr_120_7005_2025-03-05-02-30-00.2311.csv
       7036 cdr_120_7005_2025-03-05-03-00-00.2312.csv
       8840 cdr_120_7005_2025-03-05-03-30-00.2313.csv
       9223 cdr_120_7005_2025-03-05-04-00-00.2314.csv
       7688 cdr_120_7005_2025-03-05-04-30-00.2315.csv
      12099 cdr_120_7005_2025-03-05-05-00-00.2316.csv
      11796 cdr_120_7005_2025-03-05-05-30-00.2317.csv
      21370 cdr_120_7005_2025-03-05-06-00-00.2318.csv
      23358 cdr_120_7005_2025-03-05-06-30-00.2319.csv
      39843 cdr_120_7005_2025-03-05-07-00-00.2320.csv
      45111 cdr_120_7005_2025-03-05-07-30-00.2321.csv
      70561 cdr_120_7005_2025-03-05-08-00-00.2322.csv
      65837 cdr_120_7005_2025-03-05-08-30-00.2323.csv
     100197 cdr_120_7005_2025-03-05-09-00-00.2324.csv
      81396 cdr_120_7005_2025-03-05-09-30-00.2325.csv
     123979 cdr_120_7005_2025-03-05-10-00-00.2326.csv
      87721 cdr_120_7005_2025-03-05-10-30-00.2327.csv
     101514 cdr_120_7005_2025-03-05-11-00-00.2328.csv
     100117 cdr_120_7005_2025-03-05-11-30-00.2329.csv
      81492 cdr_120_7005_2025-03-05-12-00-00.2330.csv
      92587 cdr_120_7005_2025-03-05-12-30-00.2331.csv
      90303 cdr_120_7005_2025-03-05-13-00-00.2332.csv
      74260 cdr_120_7005_2025-03-05-13-30-00.2333.csv
      94537 cdr_120_7005_2025-03-05-14-00-00.2334.csv
      94244 cdr_120_7005_2025-03-05-14-30-00.2335.csv
      92261 cdr_120_7005_2025-03-05-15-00-00.2336.csv
     100441 cdr_120_7005_2025-03-05-15-30-00.2337.csv
      90547 cdr_120_7005_2025-03-05-16-00-00.2338.csv
      78334 cdr_120_7005_2025-03-05-16-30-00.2339.csv
      83071 cdr_120_7005_2025-03-05-17-00-00.2340.csv
      88474 cdr_120_7005_2025-03-05-17-30-00.2341.csv
      87068 cdr_120_7005_2025-03-05-18-00-00.2342.csv
     101611 cdr_120_7005_2025-03-05-18-30-00.2343.csv
      91560 cdr_120_7005_2025-03-05-19-00-00.2344.csv
     105573 cdr_120_7005_2025-03-05-19-30-00.2345.csv
      60560 cdr_120_7005_2025-03-05-20-00-00.2346.csv
      60373 cdr_120_7005_2025-03-05-20-30-00.2347.csv
      67461 cdr_120_7005_2025-03-05-21-00-00.2348.csv
      57972 cdr_120_7005_2025-03-05-21-30-00.2349.csv
      54916 cdr_120_7005_2025-03-05-22-00-00.2350.csv
      50773 cdr_120_7005_2025-03-05-22-30-00.2351.csv
      51947 cdr_120_7005_2025-03-05-23-00-00.2352.csv
      37603 cdr_120_7005_2025-03-05-23-30-00.2353.csv
      12178 cdr_120_7006_2025-03-05-00-00-00.2305.csv
       6878 cdr_120_7006_2025-03-05-00-30-00.2306.csv
       4660 cdr_120_7006_2025-03-05-01-00-00.2307.csv
       4077 cdr_120_7006_2025-03-05-01-30-00.2308.csv
      33764 cdr_120_7006_2025-03-05-02-00-00.2309.csv
       2772 cdr_120_7006_2025-03-05-02-30-00.2310.csv
       2446 cdr_120_7006_2025-03-05-03-00-00.2311.csv
       2594 cdr_120_7006_2025-03-05-03-30-00.2312.csv
       2908 cdr_120_7006_2025-03-05-04-00-00.2313.csv
       2717 cdr_120_7006_2025-03-05-04-30-00.2314.csv
       3931 cdr_120_7006_2025-03-05-05-00-00.2315.csv
       3608 cdr_120_7006_2025-03-05-05-30-00.2316.csv
       7198 cdr_120_7006_2025-03-05-06-00-00.2317.csv
       9295 cdr_120_7006_2025-03-05-06-30-00.2318.csv
      17957 cdr_120_7006_2025-03-05-07-00-00.2319.csv
      19840 cdr_120_7006_2025-03-05-07-30-00.2320.csv
      35461 cdr_120_7006_2025-03-05-08-00-00.2321.csv
      28472 cdr_120_7006_2025-03-05-08-30-00.2322.csv
      84736 cdr_120_7006_2025-03-05-09-00-00.2323.csv
      44431 cdr_120_7006_2025-03-05-09-30-00.2324.csv
     116010 cdr_120_7006_2025-03-05-10-00-00.2325.csv
      75571 cdr_120_7006_2025-03-05-10-30-00.2326.csv
      68996 cdr_120_7006_2025-03-05-11-00-00.2327.csv
     110260 cdr_120_7006_2025-03-05-11-30-00.2328.csv
      62391 cdr_120_7006_2025-03-05-12-00-00.2329.csv
      67478 cdr_120_7006_2025-03-05-12-30-00.2330.csv
      63681 cdr_120_7006_2025-03-05-13-00-00.2331.csv
